Entry	Length	Mass	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
P43682	97	10,961	intra-Golgi vesicle-mediated transport [GO:0006891]; protein transport [GO:0015031]; vesicle fusion [GO:0006906]	SNAP receptor activity [GO:0005484]	Golgi membrane [GO:0000139]; Golgi trans cisterna [GO:0000138]; integral component of membrane [GO:0016021]; SNARE complex [GO:0031201]
P53165	657	72,878	chromatin organization [GO:0006325]; histone acetylation [GO:0016573]; histone deubiquitination [GO:0016578]; mRNA export from nucleus [GO:0006406]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; protein complex assembly [GO:0006461]; transcription, DNA-templated [GO:0006351]	enzyme activator activity [GO:0008047]; structural molecule activity [GO:0005198]	cytosol [GO:0005829]; DUBm complex [GO:0071819]; nucleus [GO:0005634]; SAGA complex [GO:0000124]; SLIK (SAGA-like) complex [GO:0046695]
Q05567	589	65,566	calcium-mediated signaling [GO:0019722]; carboxylic acid metabolic process [GO:0019752]; cellular response to starvation [GO:0009267]; sphingolipid metabolic process [GO:0006665]	carboxy-lyase activity [GO:0016831]; pyridoxal phosphate binding [GO:0030170]; sphinganine-1-phosphate aldolase activity [GO:0008117]	cortical endoplasmic reticulum [GO:0032541]; perinuclear endoplasmic reticulum [GO:0097038]
Q08446	395	44,860	cAMP-mediated signaling [GO:0019933]; cell cycle [GO:0007049]; kinetochore assembly [GO:0051382]; protein complex assembly [GO:0006461]	chaperone binding [GO:0051087]; protein binding, bridging [GO:0030674]	ubiquitin ligase complex [GO:0000151]
P40486	507	59,151	box H/ACA snoRNP assembly [GO:0000493]	unfolded protein binding [GO:0051082]	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q07657	551	62,630	actomyosin contractile ring assembly [GO:0000915]; barrier septum assembly [GO:0000917]; cellular bud neck septin ring organization [GO:0032186]; endoplasmic reticulum polarization [GO:0061163]; exit from mitosis [GO:0010458]; G1/S transition of mitotic cell cycle [GO:0000082]; protein localization to bud neck [GO:0097271]; septin ring assembly [GO:0000921]	GTP binding [GO:0005525]	cellular bud neck septin ring [GO:0000144]; membrane [GO:0016020]
P36024	562	62,478	coenzyme A biosynthetic process [GO:0015937]; regulation of mitotic cell cycle [GO:0007346]; response to salt stress [GO:0009651]	identical protein binding [GO:0042802]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]; protein phosphatase inhibitor activity [GO:0004864]	CoA-synthesizing protein complex [GO:1990143]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; phosphopantothenoylcysteine decarboxylase complex [GO:0071513]
P33336	771	86,241	(1->6)-beta-D-glucan biosynthetic process [GO:0006078]; fungal-type cell wall organization [GO:0031505]; sphingolipid biosynthetic process [GO:0030148]	glucosidase activity [GO:0015926]	integral component of membrane [GO:0016021]
Q04658	369	40,872	ascospore wall assembly [GO:0030476]; spore membrane bending pathway [GO:0070583]		cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]; prospore membrane [GO:0005628]
P47037	1230	141,336	ascospore formation [GO:0030437]; cell division [GO:0051301]; meiotic sister chromatid cohesion [GO:0051177]; mitotic sister chromatid cohesion [GO:0007064]; reciprocal meiotic recombination [GO:0007131]; replication-born double-strand break repair via sister chromatid exchange [GO:1990414]; synaptonemal complex assembly [GO:0007130]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; chromatin binding [GO:0003682]	cohesin core heterodimer [GO:0008280]; nuclear mitotic cohesin complex [GO:0034990]; nucleus [GO:0005634]
Q06168	426	48,777	ATP-dependent chromatin remodeling [GO:0043044]; chromatin modification [GO:0016569]; chromatin remodeling at centromere [GO:0031055]; chromosome segregation [GO:0007059]; double-strand break repair [GO:0006302]; G2/M transition of mitotic cell cycle [GO:0000086]; nucleosome disassembly [GO:0006337]; regulation of nuclear cell cycle DNA replication [GO:0033262]; regulation of transcription from RNA polymerase II promoter [GO:0006357]; transcription elongation from RNA polymerase II promoter [GO:0006368]		nuclear chromosome [GO:0000228]; RSC complex [GO:0016586]
Q12314	213	24,744	peptidyl-arginine methylation [GO:0018216]	protein-arginine omega-N monomethyltransferase activity [GO:0035241]	cytoplasm [GO:0005737]
P36136	271	31,022	carbohydrate metabolic process [GO:0005975]; ribose phosphate biosynthetic process [GO:0046390]; ribosome biogenesis [GO:0042254]	oxidoreductase activity [GO:0016491]; sedoheptulose-bisphosphatase activity [GO:0050278]	cytosol [GO:0005829]; nucleus [GO:0005634]
P39000	512	56,578	ascospore formation [GO:0030437]; cell wall organization [GO:0071555]; chitin biosynthetic process [GO:0006031]	enzyme activator activity [GO:0008047]	cytoplasm [GO:0005737]; prospore membrane [GO:0005628]
Q04172	456	53,571	inner mitochondrial membrane organization [GO:0007007]; mitochondrion organization [GO:0007005]		integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]
P38337	142	16,429	histone H3-K4 methylation [GO:0051568]		Set1C/COMPASS complex [GO:0048188]
P38262	535	59,161	histone deacetylation [GO:0016575]; negative regulation of chromatin silencing at telomere [GO:0031939]; negative regulation of meiotic nuclear division [GO:0045835]; positive regulation of stress-activated MAPK cascade [GO:0032874]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription from RNA polymerase II promoter [GO:0006357]	transcription corepressor activity [GO:0003714]	nucleus [GO:0005634]; Set3 complex [GO:0034967]
P38343	150	16,042	endocytosis [GO:0006897]		integral component of membrane [GO:0016021]
P38241	364	40,925	mRNA splicing, via spliceosome [GO:0000398]; spliceosomal snRNP assembly [GO:0000387]	pre-mRNA binding [GO:0036002]; U6 snRNA binding [GO:0017070]	Prp19 complex [GO:0000974]; U2-type catalytic step 1 spliceosome [GO:0071006]; U2-type catalytic step 2 spliceosome [GO:0071007]
Q02775	382	44,637	generation of catalytic spliceosome for second transesterification step [GO:0000350]	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	spliceosomal complex [GO:0005681]; U2-type post-spliceosomal complex [GO:0071021]
P32908	1225	141,280	cell division [GO:0051301]; double-strand break repair [GO:0006302]; mitotic sister chromatid cohesion [GO:0007064]; mitotic sister chromatid segregation [GO:0000070]	AT DNA binding [GO:0003680]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; DNA secondary structure binding [GO:0000217]; double-stranded DNA binding [GO:0003690]; identical protein binding [GO:0042802]	nuclear mitotic cohesin complex [GO:0034990]
Q12749	1114	128,009	chromosome separation [GO:0051304]; DNA double-strand break attachment to nuclear envelope [GO:1990683]; DNA repair [GO:0006281]; double-strand break repair via homologous recombination [GO:0000724]; protein sumoylation [GO:0016925]; resolution of recombination intermediates [GO:0071139]	ATP binding [GO:0005524]; damaged DNA binding [GO:0003684]	nucleus [GO:0005634]; site of double-strand break [GO:0035861]; Smc5-Smc6 complex [GO:0030915]
Q02260	146	16,275	mRNA splicing, via spliceosome [GO:0000398]; spliceosomal complex assembly [GO:0000245]; spliceosomal snRNP assembly [GO:0000387]	mRNA binding [GO:0003729]	catalytic step 2 spliceosome [GO:0071013]; commitment complex [GO:0000243]; cytosol [GO:0005829]; nucleus [GO:0005634]; pICln-Sm protein complex [GO:0034715]; precatalytic spliceosome [GO:0071011]; small nuclear ribonucleoprotein complex [GO:0030532]; SMN-Sm protein complex [GO:0034719]; U12-type spliceosomal complex [GO:0005689]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type prespliceosome [GO:0071004]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U4 snRNP [GO:0005687]; U5 snRNP [GO:0005682]
Q06217	110	12,853	mRNA splicing, via spliceosome [GO:0000398]; spliceosomal snRNP assembly [GO:0000387]	RNA binding [GO:0003723]	catalytic step 2 spliceosome [GO:0071013]; precatalytic spliceosome [GO:0071011]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type prespliceosome [GO:0071004]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]
P33328	115	12,957	endocytosis [GO:0006897]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; vesicle fusion [GO:0006906]	SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]	endosome [GO:0005768]; integral component of membrane [GO:0016021]; SNARE complex [GO:0031201]; trans-Golgi network [GO:0005802]; transport vesicle membrane [GO:0030658]
P10870	884	96,719	detection of glucose [GO:0051594]; fructose transport [GO:0015755]; glucose mediated signaling pathway [GO:0010255]; glucose transport [GO:0015758]; hexose transmembrane transport [GO:0035428]; mannose transport [GO:0015761]; negative regulation of meiotic nuclear division [GO:0045835]; signal transduction [GO:0007165]	glucose binding [GO:0005536]; receptor activity [GO:0004872]; sugar:proton symporter activity [GO:0005351]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]
P18480	905	102,543	ATP-dependent chromatin remodeling [GO:0043044]; carbon catabolite activation of transcription from RNA polymerase II promoter [GO:0000436]; chromatin remodeling [GO:0006338]; double-strand break repair via homologous recombination [GO:0000724]; nucleosome disassembly [GO:0006337]; positive regulation of invasive growth in response to glucose limitation [GO:2000219]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; sucrose catabolic process [GO:0005987]; transcription, DNA-templated [GO:0006351]	RNA polymerase II activating transcription factor binding [GO:0001102]	cytosol [GO:0005829]; nuclear chromosome [GO:0000228]; nucleus [GO:0005634]; RSC complex [GO:0016586]; SWI/SNF complex [GO:0016514]
P38282	291	33,772	generation of catalytic spliceosome for first transesterification step [GO:0000349]; mRNA splicing, via spliceosome [GO:0000398]	RNA binding [GO:0003723]	cytosol [GO:0005829]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U4/U6 x U5 tri-snRNP complex [GO:0046540]
P53540	846	98,227	cytoplasmic microtubule organization [GO:0031122]; interphase microtubule nucleation by interphase microtubule organizing center [GO:0051415]; meiotic nuclear division [GO:0007126]; microtubule nucleation [GO:0007020]; mitotic spindle assembly [GO:0090307]; mitotic spindle organization in nucleus [GO:0030472]	gamma-tubulin binding [GO:0043015]; structural constituent of cytoskeleton [GO:0005200]	equatorial microtubule organizing center [GO:0000923]; gamma-tubulin small complex, spindle pole body [GO:0000928]; inner plaque of spindle pole body [GO:0005822]; microtubule [GO:0005874]; nucleus [GO:0005634]; outer plaque of spindle pole body [GO:0005824]
P42223	864	98,971	fungal-type cell wall organization [GO:0031505]; protein transport [GO:0015031]		Golgi apparatus [GO:0005794]
Q6Q595	175	19,678	endoplasmic reticulum membrane organization [GO:0090158]; phospholipid biosynthetic process [GO:0008654]; regulation of phosphatidylinositol dephosphorylation [GO:0060304]		endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
Q04951	389	40,469	carbohydrate metabolic process [GO:0005975]; conjugation with cellular fusion [GO:0000747]; fungal-type cell wall organization [GO:0031505]	1,3-beta-glucanosyltransferase activity [GO:0042124]; glucan endo-1,3-beta-D-glucosidase activity [GO:0042973]; glucosidase activity [GO:0015926]	cell surface [GO:0009986]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]
Q04279	960	105,874	eisosome assembly [GO:0070941]		eisosome [GO:0032126]; plasma membrane [GO:0005886]
Q04675	128	14,890	tRNA-type intron splice site recognition and cleavage [GO:0000379]	tRNA-intron endonuclease activity [GO:0000213]	endomembrane system [GO:0012505]; mitochondrial outer membrane [GO:0005741]; tRNA-intron endonuclease complex [GO:0000214]
Q00416	2231	252,497	DNA-dependent DNA replication maintenance of fidelity [GO:0045005]; DNA-templated transcription, termination [GO:0006353]; mRNA 3'-end processing [GO:0031124]; mRNA polyadenylation [GO:0006378]; regulation of transcription from RNA polymerase II promoter in response to DNA damage [GO:1990248]; rRNA processing [GO:0006364]; snoRNA 3'-end processing [GO:0031126]; snRNA processing [GO:0016180]; termination of RNA polymerase II transcription [GO:0006369]; transcription-coupled nucleotide-excision repair [GO:0006283]; tRNA processing [GO:0008033]	ATP binding [GO:0005524]; ATP-dependent 5'-3' DNA/RNA helicase activity [GO:0033682]; ATP-dependent 5'-3' DNA helicase activity [GO:0043141]; ATP-dependent 5'-3' RNA helicase activity [GO:0032575]; DNA-dependent ATPase activity [GO:0008094]; protein domain specific binding [GO:0019904]; RNA-dependent ATPase activity [GO:0008186]; single-stranded DNA-dependent ATP-dependent DNA helicase activity [GO:0017116]	cytoplasm [GO:0005737]; Nrd1 complex [GO:0035649]; nucleus [GO:0005634]; replication fork [GO:0005657]
P36124	751	85,480	histone deacetylation [GO:0016575]; meiotic cell cycle [GO:0051321]; negative regulation of meiotic nuclear division [GO:0045835]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	methylated histone binding [GO:0035064]; zinc ion binding [GO:0008270]	Set3 complex [GO:0034967]
Q12369	946	112,979	cell division [GO:0051301]; G2/M transition of mitotic cell cycle [GO:0000086]; mitotic nuclear division [GO:0007067]; spindle assembly [GO:0051225]; spindle pole body duplication [GO:0030474]		half bridge of spindle pole body [GO:0005825]
Q06132	899	102,853	hyperosmotic response [GO:0006972]; ribosomal small subunit biogenesis [GO:0042274]	RNA binding [GO:0003723]	FAL1-SGD1 complex [GO:0097078]; nucleolus [GO:0005730]; nucleus [GO:0005634]
P53075	577	66,862	ascospore wall assembly [GO:0030476]		intracellular ribonucleoprotein complex [GO:0030529]; mitochondrion [GO:0005739]
P38272	425	47,417	endoplasmic reticulum inheritance [GO:0048309]; intracellular mRNA localization [GO:0008298]; mating type switching [GO:0007533]; mRNA transport [GO:0051028]	mRNA binding [GO:0003729]	cellular bud tip [GO:0005934]; endoplasmic reticulum membrane [GO:0005789]
Q06236	168	18,632	mitochondrial electron transport, succinate to ubiquinone [GO:0006121]; tricarboxylic acid cycle [GO:0006099]	metal ion binding [GO:0046872]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) [GO:0005749]
P40073	367	41,126	cellular response to heat [GO:0034605]; establishment of cell polarity [GO:0030010]; osmosensory signaling pathway [GO:0007231]; signal transduction involved in filamentous growth [GO:0001402]	MAP-kinase scaffold activity [GO:0005078]; osmosensor activity [GO:0005034]	cellular bud [GO:0005933]; cellular bud neck [GO:0005935]; HICS complex [GO:0044697]; integral component of membrane [GO:0016021]; mating projection tip [GO:0043332]; plasma membrane [GO:0005886]
P35207	1287	146,059	defense response to virus [GO:0051607]; nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay [GO:0070478]; nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' [GO:0034427]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; regulation of translation [GO:0006417]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	cytoplasm [GO:0005737]; Ski complex [GO:0055087]
Q02793	397	44,232	defense response to virus [GO:0051607]; nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay [GO:0070478]; nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' [GO:0034427]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; protein complex assembly [GO:0006461]; protein-DNA complex assembly [GO:0065004]; reciprocal meiotic recombination [GO:0007131]		nuclear chromosome [GO:0000228]; Ski complex [GO:0055087]
Q03656	742	83,238	cellular cation homeostasis [GO:0030003]; cellular ion homeostasis [GO:0006873]; mRNA splice site selection [GO:0006376]; positive regulation of protein import into nucleus [GO:0042307]; protein phosphorylation [GO:0006468]; response to drug [GO:0042493]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	cytoplasm [GO:0005737]
P32790	1244	135,848	actin cortical patch assembly [GO:0000147]; actin filament polymerization [GO:0030041]; endocytosis [GO:0006897]	identical protein binding [GO:0042802]; protein binding, bridging [GO:0030674]; ubiquitin binding [GO:0043130]	actin cortical patch [GO:0030479]; cell cortex [GO:0005938]; endosome membrane [GO:0010008]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q03406	294	33,948	DNA-dependent DNA replication [GO:0006261]; DNA duplex unwinding [GO:0032508]; DNA replication initiation [GO:0006270]; double-strand break repair via break-induced replication [GO:0000727]		DNA replication preinitiation complex [GO:0031261]; GINS complex [GO:0000811]; replication fork protection complex [GO:0031298]
P40472	476	48,190	fungal-type cell wall organization [GO:0031505]; mitochondrion organization [GO:0007005]; polysaccharide catabolic process [GO:0000272]	hydrolase activity, acting on glycosyl bonds [GO:0016798]	cell surface [GO:0009986]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; organelle [GO:0043226]
P53135	668	77,298	cell cycle [GO:0007049]; DNA replication initiation [GO:0006270]; DNA unwinding involved in DNA replication [GO:0006268]; double-strand break repair via break-induced replication [GO:0000727]	chromatin binding [GO:0003682]	chromosome, centromeric region [GO:0000775]; DNA replication preinitiation complex [GO:0031261]; nuclear chromatin [GO:0000790]
Q08457	257	29,557	cell cycle [GO:0007049]; DNA replication [GO:0006260]; regulation of DNA-dependent DNA replication initiation [GO:0030174]		chromosome, centromeric region [GO:0000775]; cytoplasm [GO:0005737]; DNA replication preinitiation complex [GO:0031261]; spindle pole [GO:0000922]
P38283	698	79,186	chromosome segregation [GO:0007059]; protein phosphorylation [GO:0006468]; regulation of cytokinesis [GO:0032465]	protein kinase activator activity [GO:0030295]	chromosome passenger complex [GO:0032133]; condensed chromosome kinetochore [GO:0000777]; cytoplasm [GO:0005737]; kinetochore microtubule [GO:0005828]; nucleus [GO:0005634]; spindle microtubule [GO:0005876]; spindle midzone [GO:0051233]
Q08581	821	95,380	cell division [GO:0051301]; centromere clustering [GO:0098653]; chromosome segregation [GO:0007059]; meiotic nuclear division [GO:0007126]; mitotic nuclear division [GO:0007067]; mitotic spindle organization in nucleus [GO:0030472]; nuclear migration [GO:0007097]		condensed nuclear chromosome kinetochore [GO:0000778]; cytoplasm [GO:0005737]; kinetochore [GO:0000776]; microtubule [GO:0005874]; spindle [GO:0005819]; spindle midzone [GO:0051233]; spindle pole body [GO:0005816]
P32828	619	71,071	cellular response to DNA damage stimulus [GO:0006974]; DNA repair [GO:0006281]; protein sumoylation [GO:0016925]; protein ubiquitination [GO:0016567]; protein ubiquitination involved in ubiquitin-dependent protein catabolic process [GO:0042787]; regulation of transcription, DNA-templated [GO:0006355]; regulation of ubiquitin-protein transferase activity [GO:0051438]; telomere maintenance [GO:0000723]; transcription, DNA-templated [GO:0006351]	ligase activity [GO:0016874]; SUMO binding [GO:0032183]	chromosome, centromeric region [GO:0000775]; nucleolus [GO:0005730]; nucleus [GO:0005634]; SUMO-targeted ubiquitin ligase complex [GO:0033768]
Q06091	175	20,709	mRNA splicing, via spliceosome [GO:0000398]		catalytic step 2 spliceosome [GO:0071013]; precatalytic spliceosome [GO:0071011]; Prp19 complex [GO:0000974]; U2-type catalytic step 1 spliceosome [GO:0071006]
P43545	298	32,019	pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]	GMP synthase (glutamine-hydrolyzing) activity [GO:0003922]; pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381]	
P50278	321	35,653	carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]; tRNA export from nucleus [GO:0006409]		cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53315	255	28,448	carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt, oxidative branch [GO:0009051]	6-phosphogluconolactonase activity [GO:0017057]	cytosol [GO:0005829]; nucleus [GO:0005634]
Q99314	248	29,018	chromatin silencing at telomere [GO:0006348]; transcription, DNA-templated [GO:0006351]	acetyltransferase activity [GO:0016407]; histone acetyltransferase activity [GO:0004402]	nuclear chromatin [GO:0000790]; nuclear chromosome, telomeric region [GO:0000784]; SAS acetyltransferase complex [GO:0033255]
P53324	424	48,541	response to toxic substance [GO:0009636]; sterol deacetylation [GO:0034210]; sterol metabolic process [GO:0016125]	steryl deacetylase activity [GO:0034084]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; lipid particle [GO:0005811]
P03882	235	27,683	intron homing [GO:0006314]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	endonuclease activity [GO:0004519]	mitochondrion [GO:0005739]
Q9ZZX1	630	72,165	aerobic respiration [GO:0009060]; movement of group I intron [GO:0006316]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	cytochrome-c oxidase activity [GO:0004129]; endonuclease activity [GO:0004519]; heme binding [GO:0020037]; iron ion binding [GO:0005506]	integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]
P32564	187	20,118	mitophagy [GO:0000422]		integral component of membrane [GO:0016021]
P23833	295	33,166	cellular copper ion homeostasis [GO:0006878]; copper ion transport [GO:0006825]; protein complex assembly [GO:0006461]; respiratory chain complex IV assembly [GO:0008535]; response to redox state [GO:0051775]	copper ion binding [GO:0005507]; thioredoxin peroxidase activity [GO:0008379]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]
P42948	560	63,856	chromatin modification [GO:0016569]	zinc ion binding [GO:0008270]	
P38890	526	60,547	histone lysine methylation [GO:0034968]	S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]	cytoplasm [GO:0005737]; nuclear chromatin [GO:0000790]
P38810	929	103,950	cargo loading into COPII-coated vesicle [GO:0090110]; intracellular protein transport [GO:0006886]	signal sequence binding [GO:0005048]; zinc ion binding [GO:0008270]	COPII vesicle coat [GO:0030127]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]
P33303	322	35,340	fumarate transport [GO:0015741]; succinate transport [GO:0015744]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]; succinate:fumarate antiporter activity [GO:0005469]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]
P38166	215	24,274	protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]		cytosol [GO:0005829]; Golgi membrane [GO:0000139]; Golgi trans cisterna [GO:0000138]; integral component of membrane [GO:0016021]
P33335	543	59,426	drug transport [GO:0015893]; response to drug [GO:0042493]	drug transmembrane transporter activity [GO:0015238]	integral component of plasma membrane [GO:0005887]
P38200	338	38,015	cell division [GO:0051301]; mitotic spindle elongation [GO:0000022]; negative regulation of microtubule motor activity [GO:2000575]	microtubule binding [GO:0008017]	cellular bud neck [GO:0005935]; cytoplasm [GO:0005737]; nuclear microtubule [GO:0005880]; spindle [GO:0005819]
P25294	352	37,590	cell cycle [GO:0007049]; misfolded protein transport [GO:0070843]; nucleus-associated proteasomal ubiquitin-dependent protein catabolic process [GO:0071630]; protein folding [GO:0006457]; translational initiation [GO:0006413]; tRNA import into nucleus [GO:0035719]	DNA binding [GO:0003677]; misfolded protein binding [GO:0051787]	cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]
P39980	628	70,562	cellular iron ion homeostasis [GO:0006879]; siderophore transport [GO:0015891]; transmembrane transport [GO:0055085]	siderophore uptake transmembrane transporter activity [GO:0015344]	cytoplasmic, membrane-bounded vesicle [GO:0016023]; endosome [GO:0005768]; endosome membrane [GO:0010008]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]
P20134	766	83,345	gene silencing [GO:0016458]; negative regulation of flocculation [GO:0060257]; negative regulation of invasive growth in response to glucose limitation by negative regulation of transcription from RNA polymerase II promoter [GO:1900460]; negative regulation of pseudohyphal growth by negative regulation of transcription from RNA polymerase II promoter [GO:1900462]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; transcription, DNA-templated [GO:0006351]	RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; RNA polymerase II repressing transcription factor binding [GO:0001103]; RNA polymerase II transcription factor activity, sequence-specific transcription regulatory region DNA binding [GO:0001133]; sequence-specific DNA binding [GO:0043565]	nucleus [GO:0005634]
P36068	246	28,251	intracellular mRNA localization [GO:0008298]; mating type switching [GO:0007533]; mRNA transport [GO:0051028]	lipid binding [GO:0008289]; mRNA binding [GO:0003729]	cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53266	389	45,056	mitochondrial respiratory chain complex IV assembly [GO:0033617]	unfolded protein binding [GO:0051082]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]
P38634	284	32,223	G1/S transition of mitotic cell cycle [GO:0000082]; negative regulation of macroautophagy [GO:0016242]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]	cyclin-dependent protein serine/threonine kinase inhibitor activity [GO:0004861]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P32578	815	91,071	protein phosphorylation [GO:0006468]; regulation of protein complex assembly [GO:0043254]; signal transduction [GO:0007165]		fungal-type vacuole [GO:0000324]; nucleotide-activated protein kinase complex [GO:0031588]; vacuolar membrane [GO:0005774]
P38717	1229	142,820	intracellular sterol transport [GO:0032366]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]	transcription cofactor activity [GO:0003712]	cortical endoplasmic reticulum [GO:0032541]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P32900	734	81,849			cell cortex [GO:0005938]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; incipient cellular bud site [GO:0000131]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]
P38889	622	69,202	regulation of cell size [GO:0008361]; regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0043619]; response to osmotic stress [GO:0006970]; response to singlet oxygen [GO:0000304]; transcription, DNA-templated [GO:0006351]	phosphorelay response regulator activity [GO:0000156]; sequence-specific DNA binding [GO:0043565]; transcription factor activity, sequence-specific DNA binding [GO:0003700]	cytosol [GO:0005829]; nucleus [GO:0005634]
Q12034	447	50,943	cellular copper ion homeostasis [GO:0006878]; regulation of translation [GO:0006417]	RNA binding [GO:0003723]	cytoplasmic stress granule [GO:0010494]; polysome [GO:0005844]
P42900	643	73,257	aerobic respiration [GO:0009060]; mitochondrial translation [GO:0032543]		integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial nucleoid [GO:0042645]
P53251	210	24,069	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit export from nucleus [GO:0000056]		90S preribosome [GO:0030686]; nucleolus [GO:0005730]; preribosome, small subunit precursor [GO:0030688]
P40167	298	34,318	meiotic nuclear division [GO:0007126]; mRNA methylation [GO:0080009]; negative regulation of pseudohyphal growth [GO:2000221]; sporulation resulting in formation of a cellular spore [GO:0030435]		cytoplasm [GO:0005737]; MIS complex [GO:0036396]; nucleolus [GO:0005730]
P39990	126	13,569	maturation of LSU-rRNA [GO:0000470]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; mRNA splicing, via spliceosome [GO:0000398]; rRNA 2'-O-methylation [GO:0000451]; rRNA methylation [GO:0031167]	RNA binding [GO:0003723]; U3 snoRNA binding [GO:0034511]; U4 snRNA binding [GO:0030621]	box C/D snoRNP complex [GO:0031428]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; precatalytic spliceosome [GO:0071011]; small-subunit processome [GO:0032040]; U4/U6 x U5 tri-snRNP complex [GO:0046540]
Q04748	898	104,748			mitochondrion [GO:0005739]
P39550	113	13,288			
