Entry	Entry name	Protein names	Gene ontology (cellular component)	Gene ontology (molecular function)	Gene ontology (biological process)	Length	Mass
Q04493	PFD5_YEAST	Prefoldin subunit 5 (Genes involved in microtubule biogenesis protein 5) (Gim complex subunit 5) (GimC subunit 5)	cytoplasm [GO:0005737]; prefoldin complex [GO:0016272]	tubulin binding [GO:0015631]	positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; protein folding [GO:0006457]; tubulin complex assembly [GO:0007021]	163	18,356
Q02201	OSH6_YEAST	Oxysterol-binding protein homolog 6	cortical endoplasmic reticulum [GO:0032541]; cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; extrinsic component of membrane [GO:0019898]	lipid binding [GO:0008289]; oxysterol binding [GO:0008142]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-3,4-bisphosphate binding [GO:0043325]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-4-phosphate binding [GO:0070273]; phosphatidylinositol-5-phosphate binding [GO:0010314]; phosphatidylserine binding [GO:0001786]; phospholipid transporter activity [GO:0005548]	endocytosis [GO:0006897]; exocytosis [GO:0006887]; maintenance of cell polarity [GO:0030011]; phospholipid transport [GO:0015914]; piecemeal microautophagy of nucleus [GO:0034727]; sterol homeostasis [GO:0055092]; sterol metabolic process [GO:0016125]; sterol transport [GO:0015918]	448	51,588
Q99380	OST4_YEAST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST4 (Oligosaccharyl transferase subunit OST4) (EC 2.4.99.18) (Oligosaccharyl transferase 4 kDa subunit) (OTase 4 kDa subunit)	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; oligosaccharyltransferase complex [GO:0008250]	dolichyl-diphosphooligosaccharide-protein glycotransferase activity [GO:0004579]; protein binding, bridging [GO:0030674]	protein N-linked glycosylation [GO:0006487]	36	3,985
P41816	OYE3_YEAST	NADPH dehydrogenase 3 (EC 1.6.99.1) (Old yellow enzyme 3)	intracellular [GO:0005622]	FMN binding [GO:0010181]; NADPH dehydrogenase activity [GO:0003959]; pentaerythritol trinitrate reductase activity [GO:0018548]; trichloro-p-hydroquinone reductive dehalogenase activity [GO:0052690]	apoptotic process [GO:0006915]	400	44,92
Q12370	PAU17_YEAST	Seripauperin-17	fungal-type cell wall [GO:0009277]	structural constituent of cell wall [GO:0005199]	fungal-type cell wall organization [GO:0031505]; response to stress [GO:0006950]	124	13,093
P0CE86	PAU21_YEAST	Seripauperin-21	fungal-type cell wall [GO:0009277]	structural constituent of cell wall [GO:0005199]	fungal-type cell wall organization [GO:0031505]; response to stress [GO:0006950]	164	17,714
P32612	PAU2_YEAST	Seripauperin-2	fungal-type cell wall [GO:0009277]; integral component of membrane [GO:0016021]	structural constituent of cell wall [GO:0005199]	fungal-type cell wall organization [GO:0031505]; response to stress [GO:0006950]	120	12,82
P0CE90	PAU6_YEAST	Seripauperin-6	fungal-type cell wall [GO:0009277]	structural constituent of cell wall [GO:0005199]	fungal-type cell wall organization [GO:0031505]; response to stress [GO:0006950]	120	12,905
Q3E833	PCC1_YEAST	EKC/KEOPS complex subunit PCC1 (Polarized growth chromatin-associated controller 1)	chromosome, telomeric region [GO:0000781]; EKC/KEOPS complex [GO:0000408]; nucleoplasm [GO:0005654]	chromatin DNA binding [GO:0031490]	positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter by pheromones [GO:0007329]; telomere maintenance via recombination [GO:0000722]; transcription, DNA-templated [GO:0006351]; tRNA modification [GO:0006400]; tRNA threonylcarbamoyladenosine metabolic process [GO:0070525]	88	9,993
P38794	PCL5_YEAST	PHO85 cyclin-5 (G1/S-specific cyclin PCL5)	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; nucleus [GO:0005634]	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]	cell cycle [GO:0007049]; cell division [GO:0051301]; negative regulation of macroautophagy [GO:0016242]; negative regulation of sequence-specific DNA binding transcription factor activity [GO:0043433]; regulation of protein stability [GO:0031647]	229	26,467
Q12511	PDP1_YEAST	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial (PDP 1) (EC 3.1.3.43) (Phosphatase two C protein 5) (Protein phosphatase 2C homolog 5) (PP2C-5) (Protein phosphatase of PDH protein 1) (Pyruvate dehydrogenase complex phosphatase 1) (PDC phosphatase 1)	mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]	[pyruvate dehydrogenase (lipoamide)] phosphatase activity [GO:0004741]; metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]	positive regulation of catalytic activity [GO:0043085]; protein dephosphorylation [GO:0006470]; regulation of catalytic activity [GO:0050790]	572	63,669
P40091	PEA2_YEAST	Protein PEA2 (Protein PPF2)	cellular bud [GO:0005933]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; polarisome [GO:0000133]		bipolar cellular bud site selection [GO:0007121]; budding cell apical bud growth [GO:0007118]; establishment of cell polarity [GO:0030010]; filamentous growth [GO:0030447]; positive regulation of actin cytoskeleton reorganization [GO:2000251]; pseudohyphal growth [GO:0007124]; regulation of initiation of mating projection growth [GO:0031384]; regulation of protein localization [GO:0032880]; regulation of termination of mating projection growth [GO:0031385]	420	48,165
Q12144	PER33_YEAST	Pore and endoplasmic reticulum protein of 33 kDa	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nuclear pore [GO:0005643]	structural constituent of nuclear pore [GO:0017056]	cellular protein localization [GO:0034613]; endoplasmic reticulum tubular network organization [GO:0071786]; mRNA transport [GO:0051028]; nuclear pore complex assembly [GO:0051292]; protein transport [GO:0015031]	273	32,637
P36139	PET10_YEAST	Protein PET10 (Petite colonies protein 10)	lipid particle [GO:0005811]; membrane [GO:0016020]		aerobic respiration [GO:0009060]	283	31,246
P50091	PEX21_YEAST	Peroxisomal membrane protein PEX21 (Peroxin-21)	cytosol [GO:0005829]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]		positive regulation of binding [GO:0051099]; protein import into peroxisome matrix [GO:0016558]	288	33,05
P53203	PEX31_YEAST	Peroxisomal membrane protein PEX31 (Peroxin-31)	integral component of peroxisomal membrane [GO:0005779]		peroxisome organization [GO:0007031]	462	52,943
P16467	PDC5_YEAST	Pyruvate decarboxylase isozyme 2 (EC 4.1.1.-) (EC 4.1.1.1)	cytoplasm [GO:0005737]; nucleus [GO:0005634]	branched-chain-2-oxoacid decarboxylase activity [GO:0047433]; magnesium ion binding [GO:0000287]; pyruvate decarboxylase activity [GO:0004737]; thiamine pyrophosphate binding [GO:0030976]	aromatic amino acid family catabolic process to alcohol via Ehrlich pathway [GO:0000949]; branched-chain amino acid catabolic process [GO:0009083]; glycolytic fermentation to ethanol [GO:0019655]; L-phenylalanine catabolic process [GO:0006559]; pyruvate metabolic process [GO:0006090]; tryptophan catabolic process [GO:0006569]	563	61,912
P32854	PEP12_YEAST	Syntaxin PEP12 (Carboxypeptidase Y-deficient protein 12) (Vacuolar protein sorting-associated protein 6) (Vacuolar protein-targeting protein 13)	endosome [GO:0005768]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; SNARE complex [GO:0031201]	SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]	CVT pathway [GO:0032258]; Golgi to vacuole transport [GO:0006896]; macroautophagy [GO:0016236]; vacuole inheritance [GO:0000011]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]	288	33,006
P40335	PEP8_YEAST	Carboxypeptidase Y-deficient protein 8 (Vacuolar protein sorting-associated protein 26) (Vacuolar protein-targeting protein 4)	cytosol [GO:0005829]; endosome [GO:0005768]; retromer, cargo-selective complex [GO:0030906]; retromer complex [GO:0030904]		intracellular protein transport [GO:0006886]; protein retention in Golgi apparatus [GO:0045053]; retrograde transport, endosome to Golgi [GO:0042147]	379	42,547
P39684	PES4_YEAST	Protein PES4 (DNA polymerase epsilon suppressor 4)	nucleus [GO:0005634]	nucleotide binding [GO:0000166]; RNA binding [GO:0003723]		611	70,842
P53261	PESC_YEAST	Pescadillo homolog (Nucleolar protein 7) (Ribosomal RNA-processing protein 13)	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PeBoW complex [GO:0070545]; preribosome, large subunit precursor [GO:0030687]	large ribosomal subunit rRNA binding [GO:0070180]; ribonucleoprotein complex binding [GO:0043021]	cell cycle DNA replication [GO:0044786]; maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal large subunit biogenesis [GO:0042273]	605	69,877
P32800	PEX2_YEAST	Peroxisomal biogenesis factor 2 (Peroxin-2) (Peroxisomal protein PAS5) (Protein CRT1)	peroxisomal importomer complex [GO:1990429]; peroxisomal membrane [GO:0005778]	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]	protein import into peroxisome matrix [GO:0016558]; protein polyubiquitination [GO:0000209]	271	30,752
P16861	PFKA1_YEAST	ATP-dependent 6-phosphofructokinase subunit alpha (EC 2.7.1.11) (ATP-dependent 6-phosphofructokinase) (ATP-PFK) (Phosphofructokinase 1) (Phosphohexokinase)	6-phosphofructokinase complex [GO:0005945]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]	6-phosphofructokinase activity [GO:0003872]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]	fructose 6-phosphate metabolic process [GO:0006002]; glycolytic process [GO:0006096]; hydrogen ion transmembrane transport [GO:1902600]; proton transport [GO:0015992]	987	107,97
P33401	PGM1_YEAST	Phosphoglucomutase 1 (PGM 1) (EC 5.4.2.2) (Glucose phosphomutase 1)	cytoplasm [GO:0005737]; cytosol [GO:0005829]	magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]	galactose catabolic process [GO:0019388]; glucose 1-phosphate metabolic process [GO:0019255]; glucose 6-phosphate metabolic process [GO:0051156]; glucose metabolic process [GO:0006006]; glycogen biosynthetic process [GO:0005978]; trehalose biosynthetic process [GO:0005992]; UDP-glucose metabolic process [GO:0006011]	570	63,112
P37012	PGM2_YEAST	Phosphoglucomutase 2 (PGM 2) (EC 5.4.2.2) (D-glucose-1,6-diphosphate:D-glucose-1-phosphate phosphotransferase) (Glucose phosphomutase 2)	cytoplasm [GO:0005737]; cytosol [GO:0005829]	magnesium ion binding [GO:0000287]; phosphoglucomutase activity [GO:0004614]	cellular calcium ion homeostasis [GO:0006874]; cellular cation homeostasis [GO:0030003]; galactose catabolic process [GO:0019388]; glucose 1-phosphate metabolic process [GO:0019255]; glucose 6-phosphate metabolic process [GO:0051156]; glucose metabolic process [GO:0006006]; glycogen biosynthetic process [GO:0005978]; trehalose biosynthetic process [GO:0005992]; UDP-glucose metabolic process [GO:0006011]	569	63,089
P35994	PAU16_YEAST	Seripauperin-16	fungal-type cell wall [GO:0009277]	structural constituent of cell wall [GO:0005199]	fungal-type cell wall organization [GO:0031505]; response to stress [GO:0006950]	123	13,048
Q12524	PCD1_YEAST	Peroxisomal coenzyme A diphosphatase 1, peroxisomal (EC 3.6.1.55)	peroxisome [GO:0005777]	8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity [GO:0008413]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; pyrophosphatase activity [GO:0016462]	coenzyme A metabolic process [GO:0015936]; DNA repair [GO:0006281]; nucleoside diphosphate metabolic process [GO:0009132]	340	39,755
P13259	PCY1_YEAST	Choline-phosphate cytidylyltransferase (EC 2.7.7.15) (CTP:phosphocholine cytidylyltransferase) (CCT) (CT) (Phosphorylcholine transferase)	Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]	choline-phosphate cytidylyltransferase activity [GO:0004105]	CDP-choline pathway [GO:0006657]; phosphatidylcholine biosynthetic process [GO:0006656]; phospholipid biosynthetic process [GO:0008654]	424	49,406
P32896	PDC2_YEAST	Protein PDC2	nucleus [GO:0005634]	RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]	positive regulation of glycolytic fermentation to ethanol [GO:2001172]; positive regulation of thiamine biosynthetic process [GO:0090180]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]	925	103,944
P25646	PDP2_YEAST	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial (PDP 2) (EC 3.1.3.16) (EC 3.1.3.43) (Autophagy-related protein phosphatase 1) (Phosphatase two C protein 6) (Protein phosphatase 2C homolog 6) (PP2C-6) (Protein phosphatase of PDH protein 2) (Pyruvate dehydrogenase complex phosphatase 2) (PDC phosphatase 2)	mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]	[pyruvate dehydrogenase (lipoamide)] phosphatase activity [GO:0004741]; protein serine/threonine phosphatase activity [GO:0004722]	macroautophagy [GO:0016236]; mitophagy [GO:0000422]; positive regulation of catalytic activity [GO:0043085]; protein dephosphorylation [GO:0006470]	442	49,421
P51533	PDR10_YEAST	ATP-dependent permease PDR10	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]; xenobiotic-transporting ATPase activity [GO:0008559]	cellular response to drug [GO:0035690]; drug export [GO:0046618]; drug transmembrane transport [GO:0006855]	1564	176,461
Q04182	PDR15_YEAST	ATP-dependent permease PDR15	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ATPase activity, coupled to transmembrane movement of substances [GO:0042626]; ATP binding [GO:0005524]; xenobiotic-transporting ATPase activity [GO:0008559]	cellular response to drug [GO:0035690]; drug export [GO:0046618]; response to drug [GO:0042493]; transport [GO:0006810]	1529	172,256
Q04264	PDS5_YEAST	Sister chromatid cohesion protein PDS5 (Precocious dissociation of sisters protein 5)	chromatin [GO:0000785]; condensed nuclear chromosome [GO:0000794]; cytosol [GO:0005829]; nucleus [GO:0005634]	structural molecule activity [GO:0005198]	cell division [GO:0051301]; double-strand break repair [GO:0006302]; meiotic nuclear division [GO:0007126]; mitotic chromosome condensation [GO:0007076]; mitotic sister chromatid cohesion [GO:0007064]; synapsis [GO:0007129]	1277	147,041
P38075	PDX3_YEAST	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx)	mitochondrial intermembrane space [GO:0005758]	FMN binding [GO:0010181]; pyridoxamine-phosphate oxidase activity [GO:0004733]	pyridoxal 5'-phosphate salvage [GO:0009443]; pyridoxine biosynthetic process [GO:0008615]	228	26,908
P32609	PEP7_YEAST	Vacuolar segregation protein PEP7 (Carboxypeptidase Y-deficient protein 7) (Protein VAC1) (Vacuolar protein sorting-associated protein 19) (Vacuolar protein-targeting protein 19)	cytoplasm [GO:0005737]; cytoplasmic side of endosome membrane [GO:0010009]; cytosol [GO:0005829]	metal ion binding [GO:0046872]; phosphatidylinositol-3-phosphate binding [GO:0032266]; Rab GTPase binding [GO:0017137]	endocytosis [GO:0006897]; endosomal vesicle fusion [GO:0034058]; Golgi to endosome transport [GO:0006895]; Golgi to vacuole transport [GO:0006896]; vacuole inheritance [GO:0000011]; vesicle docking involved in exocytosis [GO:0006904]; vesicle fusion [GO:0006906]	515	59,443
Q03050	PAU10_YEAST	Seripauperin-10	fungal-type cell wall [GO:0009277]	structural constituent of cell wall [GO:0005199]	fungal-type cell wall organization [GO:0031505]; response to stress [GO:0006950]	120	12,834
P0CE85	PAU19_YEAST	Seripauperin-19	fungal-type cell wall [GO:0009277]	structural constituent of cell wall [GO:0005199]	fungal-type cell wall organization [GO:0031505]; response to stress [GO:0006950]	124	13,173
P0CE87	PAU22_YEAST	Seripauperin-22	fungal-type cell wall [GO:0009277]	structural constituent of cell wall [GO:0005199]	fungal-type cell wall organization [GO:0031505]; response to stress [GO:0006950]	164	17,714
P43575	PAU5_YEAST	Seripauperin-5	cytoplasm [GO:0005737]; fungal-type cell wall [GO:0009277]; integral component of membrane [GO:0016021]	structural constituent of cell wall [GO:0005199]	fungal-type cell wall organization [GO:0031505]; response to stress [GO:0006950]	122	12,845
Q3E770	PAU9_YEAST	Seripauperin-9	fungal-type cell wall [GO:0009277]	structural constituent of cell wall [GO:0005199]	fungal-type cell wall organization [GO:0031505]; response to stress [GO:0006950]	120	12,85
P10963	PCKA_YEAST	Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)	cytosol [GO:0005829]	ATP binding [GO:0005524]; phosphoenolpyruvate carboxykinase (ATP) activity [GO:0004612]	gluconeogenesis [GO:0006094]	549	60,983
P40038	PCL6_YEAST	PHO85 cyclin-6	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]	glycogen metabolic process [GO:0005977]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of glycogen biosynthetic process [GO:0005979]; regulation of glycogen catabolic process [GO:0005981]	420	47,007
P15873	PCNA_YEAST	Proliferating cell nuclear antigen (PCNA)	chromosome, telomeric region [GO:0000781]; nucleus [GO:0005634]; PCNA complex [GO:0043626]; replication fork [GO:0005657]	DNA binding [GO:0003677]; DNA polymerase processivity factor activity [GO:0030337]	chromatin silencing at silent mating-type cassette [GO:0030466]; chromatin silencing at telomere [GO:0006348]; error-free translesion synthesis [GO:0070987]; establishment of mitotic sister chromatid cohesion [GO:0034087]; lagging strand elongation [GO:0006273]; leading strand elongation [GO:0006272]; maintenance of DNA trinucleotide repeats [GO:0035753]; meiotic mismatch repair [GO:0000710]; mismatch repair [GO:0006298]; mitotic cell cycle [GO:0000278]; mitotic sister chromatid cohesion [GO:0007064]; nucleotide-excision repair [GO:0006289]; positive regulation of exodeoxyribonuclease activity [GO:1902394]; positive regulation of phosphodiesterase activity, acting on 3'-phosphoglycolate-terminated DNA strands [GO:1903022]; postreplication repair [GO:0006301]; regulation of DNA replication [GO:0006275]	258	28,916
P53259	PCP1_YEAST	Rhomboid protein 1, mitochondrial (EC 3.4.21.105) (Mitochondrial distribution and morphology protein 37) (Processing of cytochrome c peroxidase protein 1)	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	serine-type endopeptidase activity [GO:0004252]	regulation of mitochondrion organization [GO:0010821]; signal peptide processing [GO:0006465]	346	38,815
P53860	PDR16_YEAST	Phosphatidylinositol transfer protein PDR16 (PITP) (Pleiotropic drug resistance protein 16) (SEC14 homolog 3)	cell periphery [GO:0071944]; endoplasmic reticulum membrane [GO:0005789]; lipid particle [GO:0005811]; organelle membrane [GO:0031090]	phosphatidylinositol transporter activity [GO:0008526]	negative regulation of sexual sporulation resulting in formation of a cellular spore [GO:0043942]; phospholipid biosynthetic process [GO:0008654]; phospholipid transport [GO:0015914]; response to drug [GO:0042493]; sterol biosynthetic process [GO:0016126]	351	40,714
P12383	PDR1_YEAST	Transcription factor PDR1 (Pleiotropic drug resistance protein 1)	cytosol [GO:0005829]; nucleus [GO:0005634]	RNA polymerase II core promoter proximal region sequence-specific DNA binding [GO:0000978]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]; zinc ion binding [GO:0008270]	positive regulation of cellular response to drug [GO:2001040]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source [GO:0061414]	1068	121,794
P07270	PHO4_YEAST	Phosphate system positive regulatory protein PHO4	cytoplasm [GO:0005737]; nucleus [GO:0005634]	sequence-specific DNA binding [GO:0043565]; transcription factor activity, sequence-specific DNA binding [GO:0003700]	cellular response to phosphate starvation [GO:0016036]; chromatin remodeling [GO:0006338]; positive regulation of phosphate metabolic process [GO:0045937]; positive regulation of transcription from RNA polymerase II promoter [GO:0045944]; transcription, DNA-templated [GO:0006351]	312	34,089
P17157	PHO85_YEAST	Cyclin-dependent protein kinase PHO85 (EC 2.7.11.22) (Negative regulator of the PHO system) (Serine/threonine-protein kinase PHO85)	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; Pho85-Pho80 CDK-cyclin complex [GO:1990860]	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]	cellular response to DNA damage stimulus [GO:0006974]; negative regulation of calcium-mediated signaling [GO:0050849]; negative regulation of glycogen biosynthetic process [GO:0045719]; negative regulation of macroautophagy [GO:0016242]; negative regulation of phosphate metabolic process [GO:0045936]; negative regulation of sequence-specific DNA binding transcription factor activity [GO:0043433]; negative regulation of transcription from RNA polymerase II promoter [GO:0000122]; positive regulation of macroautophagy [GO:0016239]; protein phosphorylation [GO:0006468]; regulation of establishment or maintenance of cell polarity [GO:0032878]; regulation of protein localization [GO:0032880]; regulation of protein stability [GO:0031647]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]	305	34,906
P07271	PIF1_YEAST	ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1) (Petite integration frequency protein 1) (Telomere stability protein 1)	mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nuclear replication fork [GO:0043596]; nucleolus [GO:0005730]; nucleus [GO:0005634]; replication fork [GO:0005657]	ATP binding [GO:0005524]; ATP-dependent 5'-3' DNA helicase activity [GO:0043141]; DNA helicase activity [GO:0003678]; G-quadruplex DNA binding [GO:0051880]; single-stranded DNA binding [GO:0003697]; telomerase inhibitor activity [GO:0010521]	chromosome organization [GO:0051276]; DNA recombination [GO:0006310]; DNA strand renaturation [GO:0000733]; double-strand break repair via break-induced replication [GO:0000727]; G-quadruplex DNA unwinding [GO:0044806]; mitochondrial genome maintenance [GO:0000002]; negative regulation of telomere maintenance via telomerase [GO:0032211]; replication fork reversal [GO:0071932]; telomere maintenance [GO:0000723]; telomere maintenance via recombination [GO:0000722]	859	97,682
P52960	PIP2_YEAST	Peroxisome proliferation transcriptional regulator (Oleate-activated transcription factor 2)	Pip2-Oaf1 complex [GO:0089716]	DNA binding [GO:0003677]; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding [GO:0001077]; zinc ion binding [GO:0008270]	positive regulation of fatty acid beta-oxidation [GO:0032000]; positive regulation of transcription from RNA polymerase II promoter by oleic acid [GO:0061429]	996	114,711
Q03180	PIR3_YEAST	Cell wall mannoprotein PIR3 (Covalently-linked cell wall protein 8) (Protein with internal repeats 3)	extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]	structural constituent of cell wall [GO:0005199]	fungal-type cell wall organization [GO:0031505]	325	33,004
P33333	PLSC_YEAST	Probable 1-acyl-sn-glycerol-3-phosphate acyltransferase (1-AGP acyltransferase) (1-AGPAT) (EC 2.3.1.51) (Lysophosphatidic acid acyltransferase) (LPAAT)	integral component of membrane [GO:0016021]; lipid particle [GO:0005811]	1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]	CDP-diacylglycerol biosynthetic process [GO:0016024]; glycerophospholipid biosynthetic process [GO:0046474]	303	33,887
Q12008	PMG2_YEAST	Phosphoglycerate mutase 2 (PGAM 2) (EC 5.4.2.11) (BPG-dependent PGAM 2) (MPGM 2) (Phosphoglyceromutase 2)	cytoplasm [GO:0005737]; cytosol [GO:0005829]	intramolecular transferase activity, phosphotransferases [GO:0016868]	metabolic process [GO:0008152]	311	36,073
P07283	PMM_YEAST	Phosphomannomutase (PMM) (EC 5.4.2.8)	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]	phosphomannomutase activity [GO:0004615]	GDP-mannose biosynthetic process [GO:0009298]; protein targeting to ER [GO:0045047]	254	29,063
P87284	PMP3_YEAST	Plasma membrane proteolipid 3	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	phosphatidic acid binding [GO:0070300]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylinositol-3-phosphate binding [GO:0032266]; sphingolipid binding [GO:0046625]	cation transport [GO:0006812]; cellular response to drug [GO:0035690]; regulation of membrane potential [GO:0042391]	55	6,138
P42934	PMT6_YEAST	Dolichyl-phosphate-mannose--protein mannosyltransferase 6 (EC 2.4.1.109)	dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex [GO:0097582]; integral component of membrane [GO:0016021]	dolichyl-phosphate-mannose-protein mannosyltransferase activity [GO:0004169]	ER-associated misfolded protein catabolic process [GO:0071712]; fungal-type cell wall organization [GO:0031505]; protein O-linked glycosylation [GO:0006493]; protein O-linked mannosylation [GO:0035269]	759	88,026
P19881	PNPP_YEAST	4-nitrophenylphosphatase (PNPPase) (EC 3.1.3.41)	cytosol [GO:0005829]	alkaline phosphatase activity [GO:0004035]; phosphatase activity [GO:0016791]; phosphoglycolate phosphatase activity [GO:0008967]; phosphoprotein phosphatase activity [GO:0004721]	4-nitrophenol catabolic process [GO:0046196]; phosphorylated carbohydrate dephosphorylation [GO:0046838]; protein dephosphorylation [GO:0006470]	312	34,625
Q04636	POB3_YEAST	FACT complex subunit POB3 (Facilitates chromatin transcription complex subunit POB3)	FACT complex [GO:0035101]; nuclear chromatin [GO:0000790]; replication fork protection complex [GO:0031298]	DNA binding [GO:0003677]	DNA-dependent DNA replication [GO:0006261]; DNA repair [GO:0006281]; DNA replication-independent nucleosome organization [GO:0034724]; positive regulation of RNA polymerase II transcriptional preinitiation complex assembly [GO:0045899]; transcription, DNA-templated [GO:0006351]	552	62,994
Q04049	POLH_YEAST	DNA polymerase eta (EC 2.7.7.7) (Radiation-sensitive protein 30)	mitochondrion [GO:0005739]; nucleus [GO:0005634]; replication fork [GO:0005657]	damaged DNA binding [GO:0003684]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]	chromosome segregation [GO:0007059]; DNA replication [GO:0006260]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; mitotic sister chromatid cohesion [GO:0007064]	632	71,515
Q06449	PIN3_YEAST	[PSI+] inducibility protein 3 (LAS seventeen-binding protein 2) (LAS17-binding protein 2)	actin cortical patch [GO:0030479]; cytoplasm [GO:0005737]; nucleus [GO:0005634]		negative regulation of Arp2/3 complex-mediated actin nucleation [GO:0034316]	215	23,539
Q03306	PKH3_YEAST	Serine/threonine-protein kinase PKH3 (EC 2.7.11.1) (Pkb-activating kinase homolog 3)	cytoplasm [GO:0005737]; nucleus [GO:0005634]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]	MAPK cascade involved in cell wall organization or biogenesis [GO:0000196]; peptidyl-serine phosphorylation [GO:0018105]	898	100,476
P05375	PLMT_YEAST	Phosphatidyl-N-methylethanolamine N-methyltransferase (EC 2.1.1.17) (EC 2.1.1.71) (Overproducer of inositol protein 3) (Phospholipid methyltransferase) (PLMT)	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]	phosphatidylethanolamine N-methyltransferase activity [GO:0004608]; phosphatidyl-N-dimethylethanolamine N-methyltransferase activity [GO:0080101]; phosphatidyl-N-methylethanolamine N-methyltransferase activity [GO:0000773]	phosphatidylcholine biosynthetic process [GO:0006656]; phospholipid biosynthetic process [GO:0008654]	206	23,15
